Name,Number,Major Minor Tonality ,Density,Consonance,Register,Syncopation,Polyphony,Pathplan
bass_1,6,0.01,0.12,0.8,2,0.05,1,YES
bass_2,7,0.02,0.12,0.8,2,0.05,1,YES
bass_3,8,0.10,0.12,0.8,1,0.05,2,NO
bass_4,9,0.11,0.12,0.88,1,0.05,2,NO
bass_5,10,0.15,0.20,0.85,1,0.2,2,NO
bass_6,11,0.14,0.20,0.85,1,0.20,2,NO
bass_7,12,0.09,0.20,0.85,1,0.20,2,NO
bass_8,13,0.05,0.20,0.80,1,0.20,2,NO
chor_a_1,14,0.29,0.11,0.8,2,0.09,3,NO
chor_a_2,15,0.22,0.19,0.76,2,0.23,3,NO
chor_a_3,16,0.99,0.19,0.21,2,0.25,3,NO
chor_a_4,17,0.23,0.11,0.72,2,0.15,3,NO
chor_b_1,18,0.1,0.33,0.89,2,0.32,3,NO
chor_b_2,19,0.65,0.46,0.01,1,0.42,3,NO
chor_b_3,20,0.54,0.69,0.23,1,0.78,3,NO
chor_b_4,21,0.63,0.71,0.47,1,0.81,3,NO
chor_c_1,22,0.31,0.64,0.87,1,0.62,3,NO
chor_c_2,23,0.23,0.75,0.42,0,0.45,3,NO
chor_c_3,24,0.11,0.37,0.23,1,0.23,2,NO
guit_1,25,0.01,0.10,0.90,1,0.10,2,NO
guit_2,26,0.70,0.10,0.90,1,0.10,2,NO
guit_3,27,0.05,0.37,0.92,1,0.20,1,YES
guit_4,28,0.10,0.41,0.98,2,0.10,2,NO
guit_5,29,0.10,0.41,0.98,2,0.10,2,NO
guit_6,30,0.12,0.31,0.56,0,0.15,2,NO
guit_7,31,0.12,0.31,0.56,0,0.25,2,NO
mel_1,32,0.75,0.4,0.67,2,0.67,2,NO
mel_2,33,0.04,0.1,0.81,2,0.91,2,NO
mel_3,34,0.12,0.45,0.37,2,0.44,2,NO
mel_4,35,0.15,0.23,0.74,1,0.21,3,NO
mel_5,36,0.07,0.35,0.31,1,0.35,2,NO
mel_6,37,0.21,0.32,0.44,1,0.71,2,NO
mel_7,38,0.38,0.78,0.45,2,0.38,1,YES
mel_8,39,0.15,0.42,0.87,2,0.28,2,NO
mel_9,40,0.34,0.21,0.67,2,0.43,1,YES
mel_10,41,0.79,0.35,0.78,1,0.21,2,NO
mel_11,42,0.12,0.05,0.91,1,0.19,1,YES
mel_12,43,0.1,0.1,0.82,0,0.15,1,YES
mel_13,44,0.29,0.12,0.75,0,0.19,1,YES
mel_14,45,0.74,0.15,0.81,2,0.23,1,YES
mel_15,46,0.31,0.11,0.76,1,0.1,1,YES
mel_16,47,0.21,0.22,0.87,0,0.34,1,YES
mel_17,48,0.87,0.23,0.67,0,0.23,1,YES
mel_18,49,0.76,0.39,0.78,2,0.45,1,YES
mel_19,50,0.81,0.41,0.81,2,0.32,1,YES
mel_20,51,0.5,0.76,0.65,1,0.89,1,YES
ost_a_1,52,0.05,0.10,0.99,1,0.10,1,YES
ost_A_1,53,0.70,0.10,0.20,0,0.10,1,YES
ost_a_2,54,0.50,0.05,0.87,0,0.05,1,YES
ost_a_3,55,0.10,0.08,0.85,0,0.09,1,YES
ost_a_4,56,0.15,0.19,0.84,0,0.34,1,YES
ost_a_5,57,0.24,0.34,0.89,2,0.27,1,YES
ost_a_6,58,0.20,0.20,0.90,2,0.27,2,NO
ost_b_1,59,0.10,0.43,0.99,0,0.61,1,YES
ost_b_2,60,0.32,0.28,0.87,1,0.54,1,YES
ost_B_2,61,0.90,0.27,0.27,1,0.55,1,YES
ost_b_3,62,0.11,0.23,0.47,0,0.61,1,YES
ost_b_4,63,0.15,0.56,0.9,0,0.71,1,YES
ost_b_5,64,0.09,0.8,0.9,1,0.6,2,OFF
ost_b_6,65,0.51,0.41,0.1,1,0.23,1,YES
ost_b_7,66,0.77,0.65,0.32,1,0.87,1,YES
ost_b_8,67,0.23,0.76,0.9,1,0.31,1,YES
ost_b_9,68,0.69,0.69,0.46,1,0.24,1,YES
ost_b_10,69,0.89,0.69,0.46,1,0.24,1,YES
ost_b_11,70,0.11,0.2,0.99,1,0.05,1,YES
ost_b_12,71,0.11,0.23,0.98,1,0.02,1,YES
ost_b_13,72,0.12,0.32,0.91,0,0.02,1,YES
ost_c_1,73,0.12,0.67,0.71,0,0.84,1,YES
ost_c_2,74,0.11,0.8,0.8,0,0.81,1,YES
ost_c_3,75,0.08,0.8,0.7,0,0.85,1,YES
ost_c_4,76,0.02,0.77,0.75,0,0.76,1,YES
ost_c_5,77,0.19,0.61,0.82,1,0.43,1,YES
ost_c_6,78,0.15,0.8,0.3,1,0.78,1,YES
ost_c_7,79,0.41,0.7,0.13,1,0.67,1,YES
ost_c_8,80,0.14,0.99,0.65,2,0.51,2,NO
ost_c_9,81,0.03,0.8,0.42,1,0.81,2,NO
poly_a_1,82,0.21,0.2,0.8,1,0.33,2,NO
poly_a_2,83,0.12,0.27,0.87,1,0.41,2,NO
poly_b_1,84,0.1,0.89,0.67,1,0.91,2,NO
poly_b_2,85,0.21,0.12,0.78,0,0.76,3,NO
poly_b_3,86,0.31,0.34,0.45,1,0.91,3,NO
poly_b_4,87,0.25,0.87,0.12,1,0.89,2,NO
poly_b_5,88,0.61,0.91,0.09,0,0.92,3,NO
poly_b_6,89,0.32,0.3,0.29,2,0.79,4,NO
solo_1,90,0.5,0.99,0.89,2,0.99,1,YES
solo_2,91,0.5,0.9,0.81,2,0.87,1,YES
solo_3,92,0.5,0.95,0.67,2,0.91,1,YES
solo_4,93,0.5,0.91,0.6,2,0.87,1,YES
solo_5,94,0.5,0.97,0.4,2,0.82,1,YES
solo_6,95,0.5,0.93,0.65,2,0.94,1,YES
solo_7,96,0.5,0.96,0.63,2,0.91,1,YES
solo_8,97,0.5,0.91,0.74,2,0.98,1,YES
solo_9,98,0.5,0.9,0.6,2,0.87,1,YES
solo_10,99,0.5,0.95,0.5,2,0.89,1,YES
solo_11,100,0.5,0.8,0.4,2,0.91,1,YES
solo_12,101,0.5,1,0.7,2,0.99,1,YES
tex_C_1,102,0.89,0.78,0.1,1,0.9,1,NO
tex_c_2,103,0.4,0.75,0.63,1,0.85,1,NO
tex_c_3,104,0.65,0.81,0.26,1,0.81,1,NO
tex_C_4,105,0.91,0.89,0.74,1,0.91,1,NO
tex_c_5,106,0.11,0.78,0.6,1,0.66,2,NO
